
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. top_level, 131, 101, 34, 0, 0, 0, 0, 1, 21
.	. COREUART_C0, 87, 78, 18, 0, 0, 0, 0, 0, 0
.	.	. COREUART_C0_COREUART_C0_0_COREUART_26_0_0_0_0, 87, 78, 18, 0, 0, 0, 0, 0, 0
.	.	.	. COREUART_C0_COREUART_C0_0_Clock_gen_0_0, 19, 10, 14, 0, 0, 0, 0, 0, 0
.	.	.	. COREUART_C0_COREUART_C0_0_Rx_async_0_0, 38, 48, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREUART_C0_COREUART_C0_0_Tx_async_0_0, 21, 19, 4, 0, 0, 0, 0, 0, 0
.	. sys_init, 17, 13, 16, 0, 0, 0, 0, 0, 0
.	. uart_reader, 14, 10, 0, 0, 0, 0, 0, 0, 0
